username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,96300,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,84500,https://github.com/angular/angular
storybookjs,storybook,74700,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,52400,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48100,https://github.com/ionic-team/ionic-framework
prettier,prettier,44100,https://github.com/prettier/prettier
SheetJS,sheetjs,31500,https://github.com/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,28700,https://github.com/Asabeneh/30-Days-Of-JavaScript
angular,angular-cli,25700,https://github.com/angular/angular-cli
angular,components,23000,https://github.com/angular/components
NativeScript,NativeScript,21700,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,20000,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,19200,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,18300,https://github.com/pubkey/rxdb
handsontable,handsontable,17200,https://github.com/handsontable/handsontable
teambit,bit,15900,https://github.com/teambit/bit
sweetalert2,sweetalert2,15100,https://github.com/sweetalert2/sweetalert2
nrwl,nx,15000,https://github.com/nrwl/nx
sudheerj,javascript-interview-questions,12400,https://github.com/sudheerj/javascript-interview-questions
wailsapp,wails,12400,https://github.com/wailsapp/wails
